id,docking_score
CP000321054662,-10.7267
CP000224605633,-10.676
CP000161273980,-10.4521
CP000545455663,-10.3556
CP000000461440,-10.2239
CP000350734961,-10.1857
CP000030294339,-10.171
CP000300107774,-10.1223
CP001199578809,-10.0895
CP000545125481,-9.99659
CP000329293861,-9.95533
CP000051147804,-9.92255
CP000545502265,-9.89945
CP001057313660,-9.89495
CP001238371690,-9.89309
CP001116141875,-9.84951
CP001037809853,-9.84803
CP001202954491,-9.81047
CP000160585839,-9.80875
CP001331633238,-9.80591
CP000363652339,-9.7955
CP000564168269,-9.78933
CP000228625209,-9.78005
CP001241020532,-9.77411
CP000880646641,-9.76049
CP000362116097,-9.75784
CP000079718198,-9.75521
CP000079265854,-9.7255
CP000200266046,-9.71565
CP000545122472,-9.71259
CP000099897663,-9.71122
CP000660858108,-9.6999
CP000990744776,-9.67473
CP000051928399,-9.6666
CP000499934634,-9.66244
CP002099300983,-9.65453
CP001743583185,-9.65209
CP000320987407,-9.65194
CP000358602219,-9.65174
CP000224669810,-9.64639
CP000170292476,-9.64535
CP000130678426,-9.63978
CP000232568131,-9.6345
CP000552432442,-9.63234
CP001199624683,-9.6319
CP000542347394,-9.62884
CP000194893515,-9.62315
CP001200921732,-9.61685
CP000504420141,-9.6133
CP000191189105,-9.61237
CP000072728028,-9.61103
CP000320978352,-9.60808
CP000060118123,-9.6066
CP000232984800,-9.60629
CP000326226064,-9.60381
CP001192645755,-9.60365
CP001510912234,-9.60098
CP000962744119,-9.59859
CP001387341745,-9.59807
CP000000632628,-9.59562
CP000000453859,-9.58727
CP000204537856,-9.5863
CP000196208837,-9.58157
CP001376116347,-9.58066
CP000379383126,-9.57307
CP001386578416,-9.56196
CP000543005126,-9.5603
CP000082001099,-9.55928
CP001429534499,-9.55868
CP001408542152,-9.556
CP000264166960,-9.5543
CP000542453151,-9.55307
CP001033019320,-9.54715
CP002786153015,-9.54612
CP000081396688,-9.54265
CP001831322205,-9.5412
CP001835651915,-9.54108
CP000131081833,-9.54054
CP001286761663,-9.53899
CP000202641457,-9.5342
CP000166633241,-9.53214
CP000186586950,-9.52874
CP000148384731,-9.52193
CP000195267089,-9.51524
CP001365364197,-9.51386
CP001063538990,-9.51222
CP000362431842,-9.51034
CP000321157820,-9.50879
CP000140842537,-9.50604
CP000196080218,-9.50182
CP002303109871,-9.50127
CP000342536580,-9.49736
CP000003689930,-9.49668
CP001583422512,-9.48207
CP000204864518,-9.47863
CP000978009320,-9.47663
CP000346380895,-9.47415
CP000000187464,-9.46895
CP001028205694,-9.46779
CP000150144323,-9.46554
CP000262491093,-9.45795
CP002317885890,-9.45477
CP000389883664,-9.45307
CP000366432026,-9.45272
CP001387378760,-9.45085
CP001122955304,-9.44925
CP000118456990,-9.44909
CP002312601605,-9.44759
CP001446102596,-9.44689
CP000930797585,-9.44042
CP000155636148,-9.43996
CP002098879844,-9.43838
CP001743965639,-9.43685
CP002832908315,-9.43149
CP000493595182,-9.42472
CP000758299273,-9.42115
CP002329988054,-9.41986
CP000897252210,-9.41979
CP000808061930,-9.41951
CP001140380682,-9.41774
CP001384512213,-9.40601
CP001970188512,-9.40358
CP000542447221,-9.39833
CP001078672444,-9.39331
CP000363975201,-9.39072
CP001158198995,-9.39026
CP002984138801,-9.38943
CP000335665978,-9.38901
CP002271910739,-9.38532
CP000170144897,-9.38447
CP000519088391,-9.38372
CP000060516829,-9.38221
CP000169491256,-9.38161
CP000115964596,-9.37899
CP000082378562,-9.37295
CP001199966965,-9.3715
CP000549454168,-9.37007
CP000147558109,-9.36975
CP001774705068,-9.36262
CP000445218015,-9.36177
CP000063093497,-9.36123
CP000519667451,-9.35998
CP000540418251,-9.35514
CP000013288774,-9.35069
CP002341254943,-9.35063
CP000972860520,-9.34835
CP000104019581,-9.34182
CP000747950732,-9.34172
CP000155217422,-9.34133
CP001327170354,-9.34095
CP000321378137,-9.33994
CP000221632647,-9.33893
CP000787958431,-9.33862
CP000883033413,-9.33707
CP000907841669,-9.33651
CP000930854234,-9.33567
CP000347143995,-9.33343
CP000204452334,-9.32697
CP001345012915,-9.32688
CP001088736738,-9.32545
CP002173528259,-9.32171
CP001194851604,-9.32125
CP000365671316,-9.31956
CP000196228689,-9.31804
CP000319701893,-9.3161
CP000184450486,-9.31573
CP000072402143,-9.31561
CP001439602042,-9.31529
CP001375412523,-9.31387
CP000204327509,-9.31134
CP001072786759,-9.30803
CP000910240106,-9.30631
CP000127294005,-9.30548
CP000253348352,-9.30457
CP000808366271,-9.30288
CP001032342624,-9.30271
CP000322819303,-9.30105
CP000320838491,-9.30043
CP000545250850,-9.29957
CP000062568462,-9.29736
CP000155243790,-9.29343
CP000170400253,-9.29114
CP001962176861,-9.2904
CP000200703803,-9.28983
CP000025230534,-9.28765
CP002814324670,-9.28683
CP000989379802,-9.28659
CP000211837118,-9.28562
CP000547713457,-9.28536
CP000310409362,-9.28174
CP002190075793,-9.28109
CP000192195657,-9.28001
CP000307428556,-9.27977
CP002035878291,-9.27873
CP000362356011,-9.27743
CP000408364101,-9.27621
CP002098905829,-9.27471
CP000547516966,-9.27397
CP000355350217,-9.27357
CP000131192451,-9.27349
CP001320708754,-9.27347
CP001211501676,-9.27343
CP000068184675,-9.27292
CP000825244696,-9.27134
CP002417031717,-9.27042
CP001057218642,-9.26997
CP000280495679,-9.26787
CP001115992907,-9.26767
CP000103063068,-9.26642
CP000351959762,-9.26233
CP001665205443,-9.26091
CP000074169903,-9.2592
CP000409546197,-9.25746
CP001258574950,-9.25732
CP000255317563,-9.25454
CP001189471537,-9.2507
CP000345764692,-9.25035
CP001875205691,-9.25022
CP000128104521,-9.2485
CP000167096792,-9.24823
