id,docking_score
53300405,-14.4448
45280977,-13.9983
25102368,-13.7599
45280974,-13.6237
44202145,-13.4805
53300399,-13.1714
53300372,-13.0575
53300424,-13.0566
44263793,-12.7782
51359455,-12.6806
53300398,-12.6428
44201907,-12.5792
44202161,-12.5743
25102283,-12.5255
44201919,-12.2974
53300404,-12.2119
44601927,-12.1035
44202162,-11.94
60934,-11.8526
53300378,-11.8462
44601932,-11.8214
51359465,-11.7949
5282412,-11.7191
44143139,-11.7172
51359505,-11.6859
5462355,-11.6762
45280959,-11.6573
44263792,-11.6312
45280958,-11.4806
53300381,-11.4208
44143135,-11.4021
44601931,-11.3095
44202164,-11.3038
24747412,-11.2917
53299669,-11.2753
44263796,-11.2728
44143141,-11.2669
44202170,-11.2309
44202165,-11.2281
44601933,-11.2064
44601968,-11.1852
53300433,-11.1761
51359472,-11.1735
44143142,-11.1521
44263797,-11.1249
44602136,-11.1241
51359499,-11.1113
46902317,-11.1021
44606854,-11.0795
3859876,-11.0534
53300429,-11.0471
51361354,-11.0451
44601930,-11.0405
6885022,-11.0106
45280991,-11.0007
44201690,-10.9913
56603531,-10.9905
158365,-10.958
45479790,-10.939
23641096,-10.9316
45479804,-10.9262
44201957,-10.9254
44143144,-10.9185
44143140,-10.9146
44143138,-10.9082
44201405,-10.8995
44246586,-10.8813
45280943,-10.877
45479796,-10.8753
44144226,-10.8633
44602145,-10.831
CP000192750004,-10.8299
44143147,-10.8166
46904914,-10.7952
25102287,-10.7612
45479772,-10.7445
44201918,-10.7383
46948324,-10.7194
44143136,-10.7123
44202487,-10.696
44601926,-10.6835
49778342,-10.6773
44246584,-10.6691
46903719,-10.6686
4384568,-10.6665
51360444,-10.6588
45281128,-10.6483
46943943,-10.644
46904298,-10.6391
44601914,-10.6387
44601576,-10.6355
53300441,-10.6313
53300333,-10.629
49789160,-10.6149
44601686,-10.5846
16196568,-10.5746
44202035,-10.5714
24686750,-10.5625
44202171,-10.5528
44202697,-10.5493
53299678,-10.5442
44263667,-10.543
44202050,-10.5413
41030447,-10.5307
53299697,-10.5293
51361644,-10.5283
44601924,-10.5265
25161613,-10.5223
53300438,-10.5214
46903729,-10.5194
CP000001591461,-10.5061
44201504,-10.5052
44201940,-10.497
2491586,-10.4926
44201766,-10.4841
CP000252837571,-10.4727
53301748,-10.4723
16245395,-10.4631
44618511,-10.4581
2973697,-10.4383
44202907,-10.4371
44202013,-10.4369
CP000499812208,-10.4346
44143145,-10.4305
136026600,-10.4258
51360294,-10.423
42601304,-10.418
51361637,-10.4029
44201997,-10.3978
CP000059320632,-10.3977
44142706,-10.3832
42628598,-10.3821
51360985,-10.3747
45280995,-10.369
51361645,-10.3657
64142,-10.3654
44263675,-10.3635
46904907,-10.3584
44202596,-10.3557
44142708,-10.3515
44601669,-10.3503
44247217,-10.312
44602129,-10.3026
23640876,-10.3016
51360118,-10.2925
56642867,-10.2889
51359462,-10.2879
46903234,-10.2868
11958638,-10.2783
49786278,-10.2624
46904902,-10.2582
16219459,-10.2528
49786408,-10.2501
49786745,-10.2475
46902316,-10.2434
CP000193881273,-10.2427
23724117,-10.2346
CP000363881366,-10.2305
16681893,-10.2288
16190402,-10.2266
44142703,-10.2262
46903651,-10.2162
CP001337918045,-10.2158
51360862,-10.2153
CP000194855820,-10.215
46937439,-10.2054
51361613,-10.2041
46903965,-10.2037
44601828,-10.1982
53299915,-10.1929
51360293,-10.1909
45281147,-10.1906
53301769,-10.1866
46904140,-10.185
24747853,-10.1764
44263685,-10.165
42601196,-10.1648
6905789,-10.1635
CP000052817736,-10.1612
45479764,-10.1506
44143150,-10.1504
984602,-10.1478
CP000529146389,-10.1427
CP000542282842,-10.127
23723068,-10.1226
25163894,-10.1183
25163423,-10.1182
CP000529385753,-10.1169
44144227,-10.115
49789344,-10.1136
49791287,-10.1113
24792591,-10.1111
44601801,-10.1072
44601918,-10.1063
44601865,-10.1053
44202154,-10.0994
CP000189097120,-10.0993
44142699,-10.0988
44602147,-10.0961
53300664,-10.094
49791358,-10.0927
53299702,-10.0886
5315930,-10.0847
CP000194059793,-10.0844
CP001378518578,-10.0793
44144192,-10.0582
CP000197073810,-10.0549
44246669,-10.0515
44202167,-10.0512
1454820,-10.0496
CP000319828904,-10.0435
44201917,-10.0428
CP001384773884,-10.0387
CP000193187666,-10.0386
44601683,-10.0374
429117,-10.0367
136026601,-10.0344
44142702,-10.0314
51360144,-10.0314
49790778,-10.0303
44601805,-10.0295
135469897,-10.0178
1022013,-10.016
16243525,-10.0141
CP000547762698,-10.0113
44601682,-10.0109
16296615,-10.0069
24801690,-10.0031
5323246,-9.99911
44143151,-9.99837
CP000194849540,-9.99771
53300656,-9.99396
23723104,-9.99327
46904944,-9.98985
CP000111638982,-9.98847
25162116,-9.98544
51359327,-9.96838
23641178,-9.96641
44246546,-9.9658
46904904,-9.96018
4116967,-9.9599
9621480,-9.95533
16195560,-9.95362
53299990,-9.94706
CP000198013212,-9.94619
23724113,-9.94499
107810,-9.94371
11958633,-9.94263
CP001741251725,-9.93957
25102281,-9.92818
CP001382004389,-9.92807
23640870,-9.92701
155568238,-9.92651
CP000542418006,-9.92496
CP000193741169,-9.91346
51360487,-9.91135
CP001199970261,-9.90678
CP001575415738,-9.90676
45281132,-9.90601
53313055,-9.90501
CP000552692837,-9.90467
121427330,-9.90183
45281005,-9.9016
51361593,-9.89722
45281004,-9.89689
2945890,-9.89547
53299666,-9.89291
49786821,-9.89088
136026593,-9.89087
CP000528203096,-9.89034
51360403,-9.8903
42601133,-9.88822
16746377,-9.88746
16243174,-9.88644
44202377,-9.88332
CP001189388405,-9.88285
1255923,-9.88269
49791212,-9.88125
44601892,-9.88107
42627849,-9.881
CP000967650282,-9.87847
4783328,-9.87618
CP001280761309,-9.87069
136026594,-9.87023
51361380,-9.86606
136026608,-9.86551
71777738,-9.86248
CP000748625528,-9.86076
CP000160279263,-9.85704
25162466,-9.85248
49789956,-9.85007
46902589,-9.8474
817787,-9.84273
51361379,-9.84025
2795980,-9.83995
CP000497873640,-9.83947
CP000000599586,-9.83849
46903668,-9.83506
51360274,-9.83336
45280844,-9.83196
136026599,-9.83195
46903380,-9.83186
CP000059359897,-9.82958
44601966,-9.82796
53300332,-9.82776
CP000551750130,-9.82556
53300055,-9.82309
CP000130521823,-9.82166
51360442,-9.81925
CP000480775287,-9.81839
CP000544982992,-9.81584
CP000079909459,-9.81358
46902912,-9.81151
12005969,-9.81068
46903373,-9.80926
3808505,-9.80917
24793414,-9.80623
44143714,-9.80519
CP000541547039,-9.80437
387546,-9.79931
CP000497432881,-9.79753
11957131,-9.79719
49786362,-9.79667
CP001517451153,-9.79627
16725229,-9.79528
6145974,-9.7949
3976519,-9.79087
20832455,-9.78994
CP002473675322,-9.78928
49790753,-9.78912
51360251,-9.78822
CP000528219509,-9.78741
25102661,-9.78653
CP001131995552,-9.78568
9599809,-9.78474
53300676,-9.78414
CP002341801338,-9.78038
23663996,-9.77989
4681753,-9.7794
238136,-9.77754
45479792,-9.77745
46902442,-9.77614
CP000198187420,-9.77172
6226916,-9.76811
6878329,-9.76788
CP000059195731,-9.7678
46903734,-9.76773
23724128,-9.76677
16406135,-9.7659
44825726,-9.76334
CP000959581645,-9.76199
CP000320894175,-9.76178
CP000196182196,-9.76115
44602146,-9.76051
CP000060867299,-9.75974
CP000197945408,-9.75767
53301816,-9.75746
73099363,-9.75647
CP001739518553,-9.75399
3299924,-9.75387
CP000320794373,-9.75262
11957257,-9.75218
CP000874325724,-9.75114
CP000875237887,-9.74819
CP000052318591,-9.74716
127040698,-9.74291
121427319,-9.74277
6897105,-9.73873
53301717,-9.73867
44202436,-9.73708
CP000010174866,-9.73622
117870413,-9.73514
CP000518691459,-9.73479
CP001123771441,-9.73437
16510915,-9.73252
CP000200595296,-9.73018
CP001377321495,-9.72862
44202826,-9.72855
CP000787899480,-9.72831
CP000364979117,-9.72779
44201417,-9.72501
11834466,-9.72204
CP000324441919,-9.72203
51361399,-9.71994
CP000495878916,-9.71927
46902811,-9.71744
3159947,-9.71551
5727759,-9.70907
CP000529356044,-9.70574
44601684,-9.7044
136026603,-9.70288
CP001381238066,-9.70218
CP000196105084,-9.69995
53299677,-9.69951
