id,docking_score
16745348,-13.9786
16196660,-13.1301
16196642,-13.0584
16196532,-12.7442
16196632,-12.4441
9549834,-12.0655
11958635,-11.7584
16196588,-11.5585
135953402,-11.514
9547737,-11.4661
16745346,-11.4454
46499885,-11.3927
16196652,-11.2931
9684014,-11.2559
1904284,-11.1969
11958397,-11.1321
16196622,-11.1234
5459704,-11.1024
3656804,-11.0539
16196596,-11.0408
3124124,-10.9389
24792588,-10.9364
16196638,-10.9324
16196656,-10.931
1000253,-10.923
20967285,-10.9204
16279621,-10.9012
9608997,-10.8957
11445389,-10.8461
135650318,-10.8246
16399855,-10.7917
16745337,-10.7903
16401079,-10.79
25102520,-10.7388
135521418,-10.7239
2359310,-10.6967
16682003,-10.6727
135650326,-10.665
9556133,-10.6642
2093999,-10.6462
9547735,-10.6306
16196620,-10.6277
1142106,-10.6184
2842516,-10.6101
16285060,-10.5851
1273015,-10.5844
6863364,-10.5782
5456652,-10.5776
16196624,-10.5524
3720724,-10.5476
11958640,-10.5446
6881167,-10.5418
1624080,-10.5376
1290207,-10.5272
4551651,-10.5208
4168394,-10.5205
2196033,-10.5156
5459580,-10.5062
658309,-10.4971
15945060,-10.4968
3119491,-10.4876
6868413,-10.4739
16746318,-10.4679
2983249,-10.4618
3237718,-10.4102
5461308,-10.3937
1893703,-10.3889
16187124,-10.3797
6880341,-10.368
64143,-10.3654
12005892,-10.3585
3270483,-10.347
135417938,-10.3242
1293859,-10.3141
135517085,-10.3035
16192067,-10.2959
1136280,-10.2933
9556121,-10.2873
16681948,-10.2619
9556130,-10.2446
3145757,-10.241
3595332,-10.2366
9594334,-10.233
11958645,-10.2246
16196436,-10.2221
5510398,-10.1973
4017767,-10.1946
3097497,-10.1943
16682038,-10.1922
2971138,-10.1909
24687446,-10.187
24792599,-10.1867
12005191,-10.1853
2999063,-10.1804
2225884,-10.177
30655149,-10.1698
2901204,-10.1669
15944990,-10.1669
4854411,-10.1565
1566194,-10.1409
16746307,-10.1338
22422904,-10.1204
16238152,-10.1153
24792633,-10.1112
4789108,-10.1078
24687434,-10.1068
4135481,-10.1016
6181653,-10.0975
16746185,-10.0883
135517143,-10.0786
1006299,-10.0731
6669968,-10.068
16405326,-10.0646
44142748,-10.0599
5459609,-10.0599
23723848,-10.0566
645934,-10.0563
16196517,-10.0545
1914168,-10.0532
16187160,-10.0477
16746237,-10.0424
16746552,-10.0409
16196667,-10.0316
135591178,-10.0309
16745399,-10.028
17578259,-10.0254
1166513,-10.0195
3242896,-10.017
16196265,-10.0043
993509,-10.0029
16746169,-9.99881
1150411,-9.99856
12004911,-9.99722
16746387,-9.99675
3237393,-9.99614
24789197,-9.99462
24789196,-9.99307
993511,-9.99291
11958797,-9.99156
2152011,-9.98884
3358600,-9.98185
3242533,-9.9814
23723928,-9.97613
8804813,-9.96936
2499361,-9.9685
9549171,-9.96765
3568842,-9.96627
9549765,-9.96438
18581382,-9.96393
11958491,-9.96072
16745794,-9.95937
16746386,-9.9562
24790877,-9.95383
2413704,-9.95127
664082,-9.95064
2767240,-9.94873
11958489,-9.94788
15988150,-9.94575
12005933,-9.94401
2974839,-9.94242
4454101,-9.94152
16023115,-9.94102
3108627,-9.93734
16746382,-9.93618
16197148,-9.93377
2972772,-9.93302
17577975,-9.93208
6881317,-9.92951
2082329,-9.9271
16405376,-9.92668
11948962,-9.91796
994755,-9.91527
6602947,-9.90969
5765633,-9.90788
16289938,-9.90678
3147374,-9.90664
2172498,-9.90164
16190928,-9.89965
9550829,-9.89594
6879222,-9.89046
3237913,-9.88742
16682030,-9.88733
1819939,-9.88616
22589549,-9.8827
3603231,-9.87607
135490278,-9.87569
11958506,-9.87556
11647992,-9.87344
649782,-9.8721
5129679,-9.8673
1152521,-9.8652
6905891,-9.86466
5984676,-9.86268
16061015,-9.8625
6878922,-9.86216
23618032,-9.85607
135401269,-9.85526
3345856,-9.85366
16246469,-9.85339
23640980,-9.85311
2359311,-9.84695
6237644,-9.84359
2846656,-9.84044
5818839,-9.84043
2967872,-9.83926
24819992,-9.83924
16194209,-9.83888
4384569,-9.83737
2152060,-9.83497
2155204,-9.83389
3247198,-9.83318
3918932,-9.83274
16745334,-9.83214
5459610,-9.83189
1345642,-9.82852
1006296,-9.8278
23724407,-9.82612
3237425,-9.8247
16745331,-9.82175
16681905,-9.81879
6863009,-9.81834
659199,-9.81188
16746149,-9.81151
6624237,-9.80865
2515671,-9.80749
661054,-9.80525
11957475,-9.80219
1151007,-9.80042
6615272,-9.7969
2099293,-9.79435
1019734,-9.7905
1438274,-9.78659
16406436,-9.78477
9549930,-9.78124
2768265,-9.77816
16012727,-9.77479
9550935,-9.77082
2999264,-9.76772
6243844,-9.76728
3574667,-9.76683
4057783,-9.76621
1036710,-9.76556
3658206,-9.76513
1022011,-9.76454
16746404,-9.76416
1418564,-9.75808
24790380,-9.75758
984521,-9.75463
24230324,-9.75272
9547731,-9.75065
2288388,-9.75005
4044817,-9.74892
16249110,-9.74891
16196099,-9.74864
2059989,-9.74847
16745329,-9.74765
649532,-9.74613
2161087,-9.74209
9547729,-9.74173
6077076,-9.74153
16746193,-9.74112
9567203,-9.74078
3625828,-9.74
25237268,-9.73958
2494322,-9.73736
2336959,-9.73591
16003834,-9.7354
16289462,-9.73301
5310863,-9.73142
4182451,-9.73117
22551764,-9.72927
24816716,-9.72856
16361733,-9.7238
9549702,-9.72349
3593394,-9.72127
3237967,-9.72113
24687769,-9.72084
4838288,-9.72047
24789505,-9.7173
5461304,-9.71648
6670568,-9.71638
6868097,-9.71586
2767229,-9.71547
11958399,-9.71529
16190099,-9.71406
15996024,-9.71375
4686955,-9.71236
2903395,-9.70838
5459526,-9.70251
2768856,-9.7018
9675943,-9.70153
6852398,-9.70117
659214,-9.70112
4332811,-9.70064
16196414,-9.70009
6670555,-9.69961
11958634,-9.69893
11958510,-9.69848
5309860,-9.69718
9587245,-9.69454
9617859,-9.69373
2036464,-9.69284
3242421,-9.69227
4125526,-9.68642
2211231,-9.68482
2902667,-9.68182
1924956,-9.67854
1745706,-9.67841
4173883,-9.67464
5070001,-9.67422
20919748,-9.67332
5310340,-9.67318
11958636,-9.67266
1050422,-9.67176
1278179,-9.66453
16346591,-9.66435
24687481,-9.66097
2368254,-9.66069
2897584,-9.65911
3578180,-9.65893
16745596,-9.65627
11958880,-9.6546
135473476,-9.65396
24790762,-9.65212
3385214,-9.65203
3243537,-9.64611
3520797,-9.64521
20883579,-9.64478
135417936,-9.64315
135490306,-9.64243
826543,-9.64182
5201463,-9.6409
5455199,-9.63857
3243882,-9.63851
24978971,-9.63768
18563421,-9.63732
5309205,-9.63656
5459617,-9.63513
16403606,-9.63345
1019733,-9.63322
6904506,-9.63204
3236841,-9.6316
24818099,-9.62872
24793759,-9.62829
1967927,-9.6272
16745788,-9.62669
135455086,-9.62666
2967841,-9.62647
9547732,-9.62529
4388447,-9.62371
4166081,-9.62165
24330866,-9.61877
135533437,-9.61797
4899725,-9.61666
11958577,-9.6153
16289089,-9.6133
3114964,-9.61314
2883921,-9.61292
2770310,-9.60967
16403899,-9.60939
4875354,-9.60925
2870550,-9.60886
16320986,-9.60876
24981645,-9.60865
24892250,-9.60337
1000288,-9.59985
11948843,-9.59838
16682176,-9.59696
24792621,-9.5965
24856287,-9.59515
24793811,-9.59473
135511002,-9.59421
1383270,-9.59288
647105,-9.59285
2921884,-9.59032
20967517,-9.58952
5343000,-9.58695
16187178,-9.58663
4227760,-9.58599
2266566,-9.58536
2592745,-9.58519
5429349,-9.58493
44142746,-9.58477
16190616,-9.58308
9551179,-9.58184
2972349,-9.57997
24789174,-9.5796
644644,-9.57609
16195854,-9.57419
135490322,-9.57383
3243048,-9.57359
9551280,-9.57347
23640983,-9.57284
24791792,-9.57224
16745493,-9.57212
23723933,-9.56915
12006235,-9.56864
1778766,-9.56828
16746332,-9.56742
2342424,-9.56568
1339742,-9.56516
16188147,-9.56443
16745338,-9.56438
16681963,-9.56381
5458181,-9.56318
1301492,-9.56298
9688816,-9.56162
20846859,-9.56119
1179257,-9.56081
2464795,-9.56074
2557016,-9.55978
