id,docking_score
CP001293794060,-11.3031
CP000131061753,-10.8332
CP000062940774,-10.8102
CP000518968694,-10.7129
CP002341920823,-10.6889
CP000160973793,-10.5748
CP000196228032,-10.5654
CP000404583369,-10.5217
CP000079613041,-10.5205
CP000405626388,-10.3529
CP000322150661,-10.3454
CP000194375232,-10.333
CP000409320964,-10.2904
CP000193371709,-10.2728
CP000540053476,-10.2601
CP001381089605,-10.2075
CP000551848847,-10.2072
CP000528196647,-10.206
CP000551485758,-10.2058
CP000103783660,-10.1961
CP000194067506,-10.1901
CP000946878880,-10.1624
CP000475718696,-10.134
CP000041863713,-10.1297
CP001237747653,-10.126
CP000061198490,-10.1115
CP000160376700,-10.1092
CP001382172870,-10.1034
CP000989754458,-10.08
CP001189227111,-10.0612
CP000051335016,-10.0534
CP000320952609,-10.0188
CP000404712705,-10.005
CP000161273354,-10.0013
CP001376808896,-9.98527
CP000195426645,-9.97956
CP001378154125,-9.95325
CP000552610613,-9.94841
CP000062894409,-9.94448
CP000354661481,-9.93971
CP000201092245,-9.91227
CP000266351887,-9.89462
CP000196138807,-9.89162
CP000329297877,-9.89155
CP000024104262,-9.88178
CP000408155379,-9.87651
CP001245243118,-9.86888
CP000198127304,-9.86226
CP000252694759,-9.84664
CP000079670503,-9.83355
CP001206488533,-9.83321
CP001741069623,-9.83242
CP000497387256,-9.81854
CP000464564326,-9.81098
CP000540173476,-9.8
CP000551565418,-9.79167
CP001199155161,-9.78524
CP000408660678,-9.7817
CP000339772053,-9.77967
CP000453496597,-9.77083
CP001384449483,-9.77031
CP000193143578,-9.76684
CP000391713730,-9.76649
CP000002064272,-9.76647
CP000061275011,-9.76082
CP000440195040,-9.76014
CP001201298862,-9.7567
CP000543235734,-9.74702
CP000363591840,-9.74511
CP000078888304,-9.74291
CP000322894431,-9.73252
CP000177464169,-9.71976
CP000384337739,-9.71631
CP000493741181,-9.71003
CP000038211821,-9.70843
CP000971066093,-9.70657
CP000320889570,-9.70604
CP002171764899,-9.7043
CP000161439272,-9.70329
CP000519154372,-9.69746
CP001743469820,-9.69659
CP000112288180,-9.68731
CP000267491926,-9.68655
CP000118285514,-9.68644
CP000195933992,-9.68479
CP000542499945,-9.68327
CP001236597621,-9.68286
CP000409200144,-9.6827
CP000127253058,-9.67868
CP000551646652,-9.67277
CP002328878192,-9.67014
CP002328587415,-9.66667
CP000130750769,-9.66445
CP000480606170,-9.66222
CP000437829046,-9.66025
CP001238862520,-9.65672
CP000503342502,-9.65323
CP000363816653,-9.65311
CP001059390306,-9.65015
CP002154052041,-9.64994
CP001582425941,-9.64959
CP000354102117,-9.64879
CP000352497116,-9.6402
CP000320993690,-9.63953
CP000013574423,-9.6372
CP000153996927,-9.63008
CP000553585834,-9.62849
CP002413236926,-9.62716
CP000499673272,-9.6256
CP001078902014,-9.62246
CP000116727535,-9.61947
CP000320968054,-9.61539
CP000544938925,-9.61476
CP001508809328,-9.60894
CP000545267081,-9.60743
CP000547784024,-9.607
CP000932754022,-9.60675
CP000553020843,-9.6067
CP000262115905,-9.60325
CP002174621366,-9.60289
CP001237792793,-9.60242
