id,docking_score
CP001243268697,-9.95481
CP000547792121,-9.92894
CP001384894773,-9.90644
CP000547834046,-9.81705
CP000194907321,-9.78068
CP000194809045,-9.70434
CP001389078968,-9.69947
CP000019261644,-9.68635
CP001286436195,-9.66472
CP000751635708,-9.62611
CP000229127183,-9.62459
CP002420008661,-9.60015
CP000062788029,-9.55768
CP000204153786,-9.52919
CP000660917618,-9.52762
CP001201351580,-9.52603
CP001190415102,-9.50727
CP000499774798,-9.50106
CP000930497035,-9.49305
CP000347249595,-9.49209
CP000930254105,-9.47617
CP002341872019,-9.47281
CP000310830123,-9.4579
CP000690164656,-9.42696
CP002068446008,-9.42657
CP001199925727,-9.40812
CP001247067017,-9.40472
CP002101921590,-9.40449
CP000263450805,-9.39085
CP000651792378,-9.38583
CP002170266615,-9.3848
CP000437655347,-9.37693
CP001031514706,-9.35854
CP001084694794,-9.34187
CP000748913623,-9.31757
CP002169366288,-9.30948
CP001381335085,-9.30909
CP001066592243,-9.30606
CP000031803898,-9.30044
CP000910188015,-9.29966
CP000363648006,-9.29152
CP000236572646,-9.29126
CP000528605279,-9.28876
CP000158486648,-9.28694
CP000118582823,-9.27528
CP001200524597,-9.2752
CP000213869850,-9.27463
CP000166498214,-9.27237
CP002119471631,-9.26036
CP002735265720,-9.25465
CP000542459619,-9.24809
CP000263936216,-9.24018
CP002107815840,-9.23218
CP000495622493,-9.23037
CP003028522096,-9.22814
CP000018612722,-9.22133
CP000146726037,-9.22054
CP000810188793,-9.21562
CP000019463668,-9.21554
CP000903167758,-9.21521
CP002417197593,-9.2102
CP000274963261,-9.20891
CP000630727491,-9.20672
CP001464322004,-9.20066
CP002066934125,-9.19804
CP000196119188,-9.19692
CP000097069623,-9.19236
CP000294568072,-9.19006
CP000204302188,-9.18284
CP001583038202,-9.1716
CP000140462308,-9.17061
CP001061161733,-9.16645
CP002066170933,-9.16445
CP002037434223,-9.16392
CP001208705619,-9.15792
CP000204711024,-9.15164
CP001092544145,-9.14921
CP000434104708,-9.14169
CP000088232339,-9.1398
CP000189706654,-9.13496
CP000104942010,-9.13313
CP000320496606,-9.13228
CP000205154236,-9.12824
CP000699781242,-9.12715
CP000650532838,-9.12545
CP000160341551,-9.12133
CP000186509280,-9.11915
CP000768830745,-9.11844
CP000109976829,-9.11334
CP002485432138,-9.10863
CP001592826115,-9.10674
CP000907020916,-9.10672
CP000978154422,-9.10668
CP000030523329,-9.10602
CP000305878594,-9.10417
CP002034827883,-9.10021
CP000307248570,-9.09825
CP000385042629,-9.09823
CP000322919443,-9.0967
CP002191611242,-9.09589
CP000255388887,-9.09499
CP000165515393,-9.09476
CP001028482975,-9.09271
CP000157801421,-9.09266
CP001787799556,-9.09195
CP000880336243,-9.09011
CP001888463908,-9.08985
CP001384663360,-9.08654
CP000261441156,-9.08616
CP000363044537,-9.08411
CP001084491364,-9.08403
CP003010229155,-9.07754
CP000067359468,-9.07496
CP000226887981,-9.07427
CP002281846649,-9.07363
CP000165823254,-9.07169
CP002313203613,-9.06943
CP001101980392,-9.06899
CP002815390127,-9.06505
CP000099842462,-9.06208
CP000761954000,-9.06173
CP001373976564,-9.05942
CP002173634039,-9.05893
CP001012473643,-9.05794
CP000936695595,-9.05362
CP000080370814,-9.05324
CP002832441590,-9.05311
CP000406325746,-9.04299
CP000770475061,-9.03873
CP002162323136,-9.03719
CP000161629638,-9.0363
CP002417362868,-9.03577
CP001193083052,-9.0354
CP000255340729,-9.03429
CP001642629423,-9.03279
CP000057955552,-9.02945
CP000330741560,-9.02573
CP000030660493,-9.02499
CP001233306164,-9.01844
CP002796317185,-9.0156
CP000930353625,-9.01186
CP000973105503,-9.01149
CP001326343406,-9.01099
CP003276677632,-9.00994
CP001872661850,-9.0072
CP000905523096,-9.00318
