id,docking_score
CP001387383586,-10.4342
CP000178583364,-10.1834
CP000072740478,-10.0727
CP000196208818,-10.0627
CP000320754015,-9.99437
CP000074138568,-9.96217
CP000930760906,-9.95131
CP001200370675,-9.92865
CP001224321874,-9.92803
CP000493634123,-9.90672
CP000158563795,-9.85772
CP002090280365,-9.77896
CP000099388705,-9.75547
CP000094999669,-9.7344
CP000352146205,-9.72243
CP000307022646,-9.71439
CP000930469021,-9.70937
CP001078643695,-9.67034
CP001958092351,-9.65614
CP000141258889,-9.64981
CP002766790452,-9.64033
CP000685393531,-9.63339
CP000224518771,-9.62945
CP000324088889,-9.62765
CP000089144070,-9.6216
CP001287584071,-9.61917
CP000364036352,-9.60654
CP000551650823,-9.59816
CP000547727778,-9.58309
CP001830427614,-9.58123
CP001128355024,-9.57708
CP001517474547,-9.56788
CP000066267371,-9.56458
CP000018038948,-9.55226
CP000198188602,-9.54551
CP001743744448,-9.53772
CP002249162367,-9.51134
CP000154208719,-9.51018
CP001124295183,-9.50469
CP000263976065,-9.50027
CP001018252367,-9.49538
CP002782472612,-9.48781
CP000038585962,-9.48597
CP001200083148,-9.4855
CP001047683199,-9.48525
CP000739830573,-9.47764
CP000081245674,-9.46843
CP000645289290,-9.45516
CP000111120555,-9.45416
CP000224401431,-9.44334
CP000170941942,-9.4374
CP001081240400,-9.42524
CP000962063239,-9.42508
CP001199780946,-9.423
CP000499766378,-9.42166
CP000205039539,-9.4155
CP000186251520,-9.40982
CP000260957777,-9.40779
CP002832796121,-9.40087
CP000131317919,-9.39236
CP000115134113,-9.38972
CP000010467530,-9.38291
CP000947036572,-9.3826
CP000300516875,-9.37509
CP001408665534,-9.36972
CP000977916310,-9.35986
CP000082633393,-9.35899
CP001199984155,-9.35412
CP000670633034,-9.3538
CP001387262253,-9.35134
CP000352093339,-9.34827
CP000563260649,-9.34821
CP000028554178,-9.33927
CP001199290042,-9.33796
CP000577037072,-9.33748
CP000441272462,-9.33123
CP000997883198,-9.32868
CP000215825326,-9.32809
CP001978377953,-9.32625
CP000858896278,-9.32498
CP000310180762,-9.32318
CP000460517191,-9.31792
CP000321679570,-9.31634
CP000102966743,-9.31284
CP002170217683,-9.30649
CP001740459758,-9.30617
CP000009515822,-9.30315
CP000545905392,-9.30204
CP000509371270,-9.30051
CP000332500492,-9.29385
CP002254794051,-9.29096
CP000542358465,-9.29043
CP001205405011,-9.28872
CP001250900878,-9.28173
CP001142392935,-9.27854
CP002097944606,-9.27651
CP000322406117,-9.27502
CP000488345109,-9.27391
CP000194642445,-9.27106
CP000204600720,-9.26939
CP001200813838,-9.25933
CP002327613332,-9.25877
CP000261049081,-9.25816
CP002097730150,-9.25647
CP000341956526,-9.25552
CP000196183295,-9.252
CP000261552165,-9.24996
CP001858736482,-9.24621
CP000946923905,-9.24177
CP000017653286,-9.24169
CP002020676234,-9.24082
CP000040718106,-9.23985
CP000644449348,-9.23925
CP000012365264,-9.23901
CP000082199285,-9.23669
CP000115899713,-9.23207
CP000051845227,-9.23131
CP000087553439,-9.22874
CP000929845516,-9.22709
CP001239285812,-9.22674
CP000547724948,-9.22633
CP002099567346,-9.22282
CP001384769272,-9.21973
CP000769245610,-9.21684
CP002316112040,-9.21427
CP000010267624,-9.21276
CP000261334463,-9.21169
CP002330336998,-9.21058
