id,docking_score
CP001326727600,-10.3095
CP001373462362,-10.1974
CP000759819446,-10.1683
CP001517434153,-9.99835
CP001510026382,-9.92602
CP001741265500,-9.7913
CP000517580878,-9.77058
CP001387268572,-9.74218
CP001042925146,-9.72018
CP000558805806,-9.71948
CP000545421206,-9.71665
CP000547781732,-9.64467
CP001100677818,-9.63111
CP003475018638,-9.59065
CP001043657948,-9.58042
CP000260427811,-9.56454
CP000322512529,-9.54889
CP000707429062,-9.54702
CP001582532661,-9.54486
CP000384773687,-9.54091
CP001199571655,-9.52903
CP000522937588,-9.52197
CP001057993712,-9.51809
CP001287267313,-9.51039
CP000553535506,-9.5007
CP000063718523,-9.49539
CP000255348213,-9.46227
CP001160244319,-9.43968
CP000542347258,-9.42336
CP001077883618,-9.42087
CP002314221838,-9.39881
CP002098041622,-9.39447
CP000073634745,-9.38251
CP000147690582,-9.37511
CP002079415689,-9.35333
CP002344869551,-9.34885
CP000192979202,-9.34802
CP001387230646,-9.339
CP001285928567,-9.33146
CP000794130247,-9.31983
CP002878240126,-9.31363
CP001388224540,-9.31167
CP000047717130,-9.30893
CP000197335467,-9.30028
CP000968837631,-9.2955
CP001202101953,-9.29189
CP000077199565,-9.2893
CP003129985961,-9.28301
CP000036774411,-9.27957
CP000050210336,-9.26934
CP001847521058,-9.25377
CP000008920457,-9.25365
CP000320911073,-9.25054
CP002375441353,-9.24774
CP000321867484,-9.24759
CP001975841198,-9.2455
CP000016416980,-9.24475
CP000590612122,-9.24429
CP000651096975,-9.23445
CP001257119187,-9.22709
CP001759696140,-9.21366
CP001408654452,-9.21359
CP000769071958,-9.2104
CP001381097492,-9.2096
CP000405122806,-9.2023
CP000476343509,-9.20181
CP002718901052,-9.19669
CP000928904101,-9.18546
CP000041658483,-9.16199
CP000495136707,-9.15932
CP001933695159,-9.15033
CP000476392812,-9.14973
CP000563048293,-9.1497
CP001872735864,-9.14585
CP001199358993,-9.14522
CP002297139229,-9.14344
CP002035168158,-9.14071
CP001573382930,-9.14043
CP002615214263,-9.13709
CP000353343639,-9.13103
CP000494736918,-9.13052
CP002098698910,-9.12906
CP000109844579,-9.12681
CP001331961462,-9.12529
CP000726239156,-9.12401
CP000339745660,-9.12146
CP000115981440,-9.11839
CP000114497627,-9.11366
CP000946385447,-9.10907
CP000288920639,-9.10426
CP000551320717,-9.10206
CP001102972144,-9.09963
CP001188059270,-9.09277
CP002349760292,-9.09038
CP000198147694,-9.08804
CP000540720395,-9.08334
CP001517537566,-9.08327
CP000409483019,-9.08208
CP002003013320,-9.06731
CP000147266587,-9.06556
CP002825353321,-9.0632
CP001717173850,-9.06115
CP000545019255,-9.05553
CP003501213002,-9.05379
CP000082274875,-9.05257
CP000177600352,-9.04966
CP002665112816,-9.04822
CP000758187617,-9.04296
CP002305052279,-9.04246
CP000131078271,-9.04122
CP000936951112,-9.03894
CP002939887868,-9.03697
CP001735064470,-9.036
CP000079247068,-9.03594
CP001249559955,-9.0311
CP002478231265,-9.03085
CP000765519197,-9.02965
CP000815375017,-9.027
CP001734582858,-9.02555
CP001245027992,-9.02432
CP000434042537,-9.01663
CP002944575467,-9.01654
CP001614575262,-9.01288
CP000407020870,-9.01194
CP000225069026,-9.01058
CP002318453118,-9.01047
CP000100177397,-9.00486
CP002759844012,-9.00272
CP000641139861,-8.99842
CP001058634944,-8.99798
CP000858595059,-8.99701
CP000092279764,-8.99641
CP000931094669,-8.99121
CP000832787392,-8.98906
CP002766604832,-8.98864
CP000716836461,-8.98856
CP000097143235,-8.98852
CP003131653032,-8.98571
CP001384892426,-8.98564
CP000171708761,-8.98209
CP001694059663,-8.98159
CP000060210648,-8.97688
CP002504702047,-8.97306
CP001584650573,-8.97272
CP001282836285,-8.97125
CP000260703893,-8.97118
CP002546542810,-8.96593
CP000718852805,-8.96291
CP001829754771,-8.96063
CP002162914987,-8.95822
CP000651641220,-8.95784
CP001317138832,-8.95618
CP001702354389,-8.95545
CP000832342246,-8.95432
CP002032133827,-8.95267
CP000748789504,-8.95251
CP000136744448,-8.95224
CP002034082426,-8.94699
CP000383702002,-8.94569
CP002224043489,-8.94553
CP000168917087,-8.94472
CP000078265957,-8.94297
CP001033063884,-8.94274
CP001799656738,-8.94184
CP000416771192,-8.94176
CP001640424621,-8.93935
CP000930514867,-8.93467
CP002069440304,-8.93341
CP001063799042,-8.93172
CP001461710842,-8.93091
CP001057411125,-8.92979
CP000931094357,-8.92976
CP000205140863,-8.92818
CP000832359379,-8.92545
CP000547007358,-8.92327
CP000696088875,-8.92278
CP000844407520,-8.91987
CP001542109403,-8.91411
CP000386955098,-8.91103
CP002107356412,-8.91085
CP000325874801,-8.9105
CP000727908860,-8.90837
CP000471286949,-8.9073
CP003075653667,-8.90666
CP000494981111,-8.90453
CP000024000134,-8.90076
CP002229389746,-8.90035
CP000582213081,-8.89338
CP001573711027,-8.89052
CP000410046499,-8.88732
CP000630210746,-8.88626
CP002153227956,-8.88516
CP000726837538,-8.88512
CP001285928440,-8.88404
CP001685391071,-8.88311
CP002784449889,-8.88264
CP001841538184,-8.88141
CP000006771829,-8.88019
CP001120263231,-8.8775
CP000077392082,-8.87456
CP000155874772,-8.87058
CP003022803529,-8.87041
CP001438230674,-8.87035
CP000886943449,-8.86932
CP001384843599,-8.86826
CP000230773444,-8.8682
CP001373052826,-8.86634
CP002035851617,-8.86132
CP000634800441,-8.86078
CP000325226849,-8.86002
CP000552236532,-8.85945
CP000026320668,-8.8584
CP001239711317,-8.85637
CP001250500190,-8.85517
CP000218721556,-8.85497
CP001099755118,-8.85456
CP002160649880,-8.85415
CP001326870537,-8.85348
CP000351470240,-8.8506
CP000152301769,-8.85048
CP000346284990,-8.84926
CP000932160638,-8.84693
CP001066777527,-8.84614
CP000276212038,-8.84019
CP000102287062,-8.8378
CP002837305162,-8.83453
CP000689674247,-8.83231
CP002269213489,-8.83217
CP001941561606,-8.83097
CP000991674499,-8.82858
CP000541304023,-8.82816
CP000049810049,-8.82784
CP000193712006,-8.82667
CP000120827300,-8.82658
CP002419963401,-8.82531
CP001829700676,-8.82521
CP001875161672,-8.82447
CP002343254805,-8.82261
CP000162580041,-8.82171
CP000145641370,-8.82137
CP000181388837,-8.81975
CP002020824747,-8.8187
CP003077441422,-8.81796
CP000943715519,-8.81737
CP001715851450,-8.81544
CP000409629093,-8.81497
CP000363257602,-8.81463
CP001095157443,-8.81409
CP000309780906,-8.81385
CP000798164365,-8.81289
CP000010460611,-8.81172
CP001243638881,-8.81121
CP000102621029,-8.81065
CP001379430827,-8.80984
CP000535982224,-8.80916
CP000008052789,-8.80889
CP000649975993,-8.80525
CP001708632027,-8.80519
CP000352250961,-8.80448
CP000273841589,-8.80353
CP001381213500,-8.80214
CP002772556155,-8.80153
CP000404845209,-8.80069
CP002995911861,-8.80032
CP000971600721,-8.79922
CP000309781122,-8.79908
CP000751005247,-8.79875
CP000099434026,-8.79825
CP000544982506,-8.79789
